EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901339',902999,85,-91,1711535225.692
b'2023081808726A041A901339',902998,88,-91,1711535225.728
b'2023081808726A041A901339',902999,86,-91,1711535225.764
b'2023081808726A041A901339',902998,83,-91,1711535225.799
b'2023081808726A041A901339',902999,84,-91,1711535225.837
b'2023081808726A041A901339',902998,92,-89,1711535225.86
b'2023081808726A041A901339',902999,93,-91,1711535225.896
b'2023081808726A041A901339',902998,90,-90,1711535225.931
b'2023081808726A041A901339',902999,97,-89,1711535225.969
b'2023081808726A041A901339',902998,92,-90,1711535226.005
b'2023081808726A041A901339',902999,96,-89,1711535226.04
b'2023081808726A041A901339',902998,92,-89,1711535226.077
b'2023081808726A041A901339',902999,95,-89,1711535226.116
b'2023081808726A041A901339',902998,96,-88,1711535226.152
b'2023081808726A041A901339',902999,98,-88,1711535226.188
b'2023081808726A041A901339',902998,97,-88,1711535226.225
b'2023081808726A041A901339',902999,94,-88,1711535226.26
b'2023081808726A041A901339',902998,97,-88,1711535226.297
b'2023081808726A041A901339',902999,97,-88,1711535226.333
b'2023081808726A041A901339',902998,96,-88,1711535226.369
b'2023081808726A041A901339',902999,96,-88,1711535226.407
b'2023081808726A041A901339',902998,95,-88,1711535226.442
b'2023081808726A041A901339',902999,93,-88,1711535226.479
b'2023081808726A041A901339',902998,86,-87,1711535226.515
b'2023081808726A041A901339',902999,89,-88,1711535226.551
b'2023081808726A041A901339',902998,87,-87,1711535226.586
b'2023081808726A041A901339',902999,84,-88,1711535226.625
b'2023081808726A041A901339',902998,88,-88,1711535226.661
b'2023081808726A041A901339',902999,89,-88,1711535226.697
b'2023081808726A041A901339',902998,90,-89,1711535226.735
b'2023081808726A041A901339',902999,86,-89,1711535226.769
b'2023081808726A041A901339',902998,87,-88,1711535226.808
b'2023081808726A041A901339',902999,88,-89,1711535226.844
b'2023081808726A041A901339',902998,88,-89,1711535226.895
b'2023081808726A041A901339',902999,90,-88,1711535226.931
b'2023081808726A041A901339',902998,89,-90,1711535226.969
b'2023081808726A041A901339',902999,94,-89,1711535227.005
b'2023081808726A041A901339',902998,94,-89,1711535227.041
b'2023081808726A041A901339',902999,86,-90,1711535227.076
b'2023081808726A041A901339',902998,96,-89,1711535227.112
b'2023081808726A041A901339',902999,100,-89,1711535227.136
b'2023081808726A041A901339',902998,101,-89,1711535227.171
b'2023081808726A041A901339',902999,102,-90,1711535227.209
b'2023081808726A041A901339',902998,105,-90,1711535227.243
b'2023081808726A041A901339',902999,108,-90,1711535227.279
b'2023081808726A041A901339',902998,113,-90,1711535227.316
b'2023081808726A041A901339',902999,111,-90,1711535227.353
b'2023081808726A041A901339',902998,117,-90,1711535227.393
b'2023081808726A041A901339',902999,120,-90,1711535227.427
b'2023081808726A041A901339',902998,116,-89,1711535227.463
b'2023081808726A041A901339',902999,117,-90,1711535227.499
b'2023081808726A041A901339',902998,112,-91,1711535227.537
b'2023081808726A041A901339',902999,108,-91,1711535227.573
b'2023081808726A041A901339',902998,121,-92,1711535227.608
b'2023081808726A041A901339',902999,113,-91,1711535227.63
b'2023081808726A041A901339',902998,112,-90,1711535227.668
b'2023081808726A041A901339',902999,108,-91,1711535227.703
b'2023081808726A041A901339',902998,108,-90,1711535227.74
b'2023081808726A041A901339',902999,108,-89,1711535227.775
b'2023081808726A041A901339',902998,111,-93,1711535227.81
b'2023081808726A041A901339',902999,106,-91,1711535227.847
b'2023081808726A041A901339',902998,115,-90,1711535227.886
b'2023081808726A041A901339',902999,113,-90,1711535227.922
b'2023081808726A041A901339',902998,111,-90,1711535227.959
b'2023081808726A041A901339',902999,115,-89,1711535227.996
b'2023081808726A041A901339',902998,112,-89,1711535228.033
b'2023081808726A041A901339',902999,117,-89,1711535228.069
b'2023081808726A041A901339',902998,123,-90,1711535228.105
b'2023081808726A041A901339',902999,110,-89,1711535228.142
b'2023081808726A041A901339',902998,120,-89,1711535228.179
b'2023081808726A041A901339',902999,113,-89,1711535228.214
b'2023081808726A041A901339',902998,110,-90,1711535228.25
b'2023081808726A041A901339',902999,124,-90,1711535228.286
b'2023081808726A041A901339',902998,111,-89,1711535228.322
b'2023081808726A041A901339',902999,114,-89,1711535228.359
b'2023081808726A041A901339',902998,112,-91,1711535228.397
b'2023081808726A041A901339',902999,121,-89,1711535228.433
b'2023081808726A041A901339',902998,118,-89,1711535228.471
b'2023081808726A041A901339',902999,123,-89,1711535228.507
b'2023081808726A041A901339',902998,110,-88,1711535228.542
b'2023081808726A041A901339',902999,119,-89,1711535228.579
b'2023081808726A041A901339',902998,123,-90,1711535228.614
b'2023081808726A041A901339',902999,118,-90,1711535228.653
b'2023081808726A041A901339',902998,119,-90,1711535228.69
b'2023081808726A041A901339',902999,109,-89,1711535228.726
b'2023081808726A041A901339',902998,121,-88,1711535228.763
b'2023081808726A041A901339',902999,117,-89,1711535228.798
b'2023081808726A041A901339',902998,112,-90,1711535228.834
b'2023081808726A041A901339',902999,108,-88,1711535228.872
b'2023081808726A041A901339',902998,119,-88,1711535228.908
b'2023081808726A041A901339',902999,119,-89,1711535228.944
b'2023081808726A041A901339',902998,105,-89,1711535228.98
b'2023081808726A041A901339',902999,119,-90,1711535229.017
b'2023081808726A041A901339',902998,105,-89,1711535229.053
b'2023081808726A041A901339',902999,107,-89,1711535229.089
b'2023081808726A041A901339',902998,115,-89,1711535229.124
b'2023081808726A041A901339',902999,106,-89,1711535229.167
b'2023081808726A041A901339',902998,108,-90,1711535229.202
b'2023081808726A041A901339',902999,116,-88,1711535229.239
